villaName,stars,roomType,photoLink,seasons,extrabed,honeymoonPackage,contractUntil
Kecapi Villa,4.0,Royal Two Bedroom Villa with Private Pool,,"{'normal': None, 'high': 1900000, 'peak': 2500000}",2600000,,2700000
Kecapi Villa,4.0,Royal Three Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2600000, 'peak': 3200000}",3300000,,3400000
Kolila Villa Seminyak,4.0,Two Bedroom Villa with Private Pool and Buthtub,https://bit.ly/KolilaVilla,"{'normal': None, 'high': 2000000, 'peak': 2600000}",2700000,,2800000
Kolila Villa Seminyak,4.0,Three Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2600000, 'peak': 3200000}",3300000,,3400000
Canggu Circle,4.0,One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/CangguCircle,"{'normal': None, 'high': 1100000, 'peak': 1700000}",550000,,1900000
Canggu Circle,4.0,Two Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 1350000, 'peak': 1950000}",2050000,,2150000
Canggu Circle,4.0,Three  Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2000000, 'peak': 2600000}",2700000,,2800000
Nara Villa Canggu,5.0,Three  Bedroom Villa with Private Pool ,https://bit.ly/NaraVillaCanggu,"{'normal': None, 'high': 2700000, 'peak': 3300000}",550000,,3500000
Nara Villa Canggu,5.0,Four Bedroom Villa with Private Pool ,,"{'normal': None, 'high': 3400000, 'peak': 4000000}",4100000,,4200000
Nara Villa Canggu,5.0,Five Bedroom Villa with Private Pool ,,"{'normal': None, 'high': 3800000, 'peak': 4400000}",4500000,,4600000
Kanadea Villa,4.0,Two Bedroom Villa with Private Pool  (ROOM ONLY),https://bit.ly/KanadeaVilla,"{'normal': None, 'high': 1600000, 'peak': 2200000}",2300000,,2400000
Kanadea Villa,4.0,Three  Bedroom Villa with Private Pool (ROOM ONLY),,"{'normal': None, 'high': 2000000, 'peak': 2600000}",2700000,,2800000
